,Product Name,Product Price,Key Features,Availability,Image Link,Product Link,brand
26,JVC GY-HM170UA 4KCAM Compact Professional Camcorder with Top Handle Audio Unit,"$1,495","1/2.33"" CMOS Sensor,Ultra HD 4K 24/30p Recording at 150 Mb/s,4:2:2 1080p Video up to 60p at 50 Mb/s,Dual SDHC/SDXC Memory Card Slots",In Stock,,https://www.bhphotovideo.com/c/product/1194106-REG/jvc_gy_hm170ua_4kcam_compact_professional.html,JVC
27,Panasonic HC-X1500 UHD 4K HDMI Pro Camcorder with 24x Zoom,"$1,697","Record up to UHD 4K60 Video, HDMI Out,1/2.5"" 8.29M MOS Sensor, Venus Engine,24x Optical Zoom, 48x Digital iZoom,120 fps Slow Motion, Live RTP Streaming",In Stock,,https://www.bhphotovideo.com/c/product/1528018-REG/panasonic_hc_x1500_4k_uhd_full_hd.html,Panasonic
28,"JVC GY-HC500U Handheld Connected Cam 1"" 4K Professional Camcorder","$3,295","1"" CMOS Sensor, 20x Optical Zoom,3840 x 2160 60/50/30/25/24p,UHD 4K, HD, SD, SD-Proxy Recording,HDR via HLG or J-Log1 (10-Bit)",In Stock,,https://www.bhphotovideo.com/c/product/1438286-REG/jvc_gy_hc500_connected_cam_4k_professional.html,JVC
29,JVC GY-HM250 UHD 4K Streaming Camcorder with Built-in Lower-Thirds Graphics,"$1,995","1/2.3"" CMOS Sensor, 12x Optical Zoom,Records UHD 4K 24/30p at 70/150 Mb/s,IP Control & Full HD Live Streaming,4:2:2 4K Video at 24/30p",In Stock,,https://www.bhphotovideo.com/c/product/1400279-REG/jvc_gy_hm250_4k_uhd_camcorder.html,JVC
30,Canon XC15 4K Professional Camcorder,"$2,199","1"" CMOS Sensor and DIGIC DV 5 Processor,UHD 4K at up to 29.97 fps,8.9 - 89mm Zoom Lens with f/2.8 - f/5.6,XLR Audio Input & MA-400 Mic Adapter",In Stock,,https://www.bhphotovideo.com/c/product/1278108-REG/canon_1456c002_xc15_4k_professional_camcorder.html,Canon
31,Panasonic HC-VX981K 4K Ultra HD Camcorder,$797,"Ultra HD 4K Video at 24/30 fps,1/2.3"" BSI MOS Sensor,20x Leica Dicomar Optical Zoom Lens,Wireless Multicamera Support",In Stock,,https://www.bhphotovideo.com/c/product/1211806-REG/panasonic_hc_vx981k_4k_camcorder.html,Panasonic
32,Sony FDR-AX700 4K Camcorder,"$1,898","4K HDR Video Recording,1""-Type Stacked CMOS Sensor,BIONZ X Image Processor,273-Point Phase Detection Autofocus",In Stock,,https://www.bhphotovideo.com/c/product/1362622-REG/sony_fdr_ax700_b_fdr_ax700_4k_camcorder.html,Sony
33,Canon Vixia HF G60 UHD 4K Camcorder,"$1,699","8.29MP 1"" CMOS Image Sensor,Record up to UHD 4K30 Video,DIGIC DV 6 Image Processor,9-Blade Circular Aperture",In Stock,,https://www.bhphotovideo.com/c/product/1470023-REG/canon_3670c002_vixia_hf_g60_uhd.html,Canon
34,Sony FDR-AX100 4K Ultra HD Camcorder,"$1,499","Ultra HD 4K Video at 30 fps/20MP Stills,1"" Exmor R CMOS Sensor,BIONZ X Processor,Zeiss Vario-Sonnar T* Lens",In Stock,,https://www.bhphotovideo.com/c/product/1022653-REG/sony_fdrax100_b_hdr_ax100_full_hd_handycam.html,Sony
35,Zoom Q8n-4K Handy Video Recorder,$399,"Records up to UHD 4K Video at 30 fps,Wide-Angle 150° Lens,Detachable X/Y Condenser Microphone,Compatible with Zoom Microphone Capsules",New Item - Coming Soon,,https://www.bhphotovideo.com/c/product/1687971-REG/zoom_zq8n4k_q8n_4k_handy_video_recorder.html,Zoom
